UEFA_Country,2017–18,2018–19,2019–20,2020–21,2021–22
England,20.071,22.642,18.571,24.357,8.285
Spain,19.714,19.571,18.928,19.5,7.285
Italy,17.333,12.642,14.928,16.285,7.142
Germany,9.857,15.214,18.714,15.214,7.214
France,11.5,10.583,11.666,7.916,7.916
Portugal,9.666,10.9,10.3,9.6,6.583
Netherlands,2.9,8.6,9.4,9.2,9.4
Austria,9.75,6.2,5.8,6.7,6.2
Scotland,4,6.75,9.75,8.5,3.7
Russia,12.6,7.583,4.666,4.333,2.9
Ukraine,8,5.6,7.2,6.8,3.8
Serbia,6.375,6,6,5.5,5.5
Belgium,2.6,7.8,7.6,6,5
Switzerland,6.5,3.9,6.4,5.125,5.75
Croatia,5.125,5.75,4.375,5.9,4.25
Czech Republic,5.5,6.5,2.5,6.6,4.1
Cyprus,7,6.125,5.125,4,2.875
Turkey,6.8,5.5,5,3.1,4.7
Greece,5.1,5.1,4.9,5.1,4.5
Denmark,5.25,4.875,5.125,4.125,4.8
Norway,4,5.375,3.75,6.5,4.375
Israel,5.625,2.625,2.375,7,6
Sweden,5.375,4.125,5.75,2.5,4.875
Bulgaria,4,4,4.125,4,3.125
Romania,2.9,2.375,5.875,3.75,1.75
Azerbaijan,4.375,2.375,3.375,2.5,3.875
Poland,2.875,2.25,2.125,4,4.625
Hungary,1.625,3.25,4.5,4.25,2.25
Kazakhstan,4.25,4.25,3.375,1,2.625
Slovakia,1.875,5.125,3,1.5,3.875
Slovenia,4.625,3.125,2,2.25,2.5
Belarus,3.25,5,2.5,1.5,0.25
Moldova,2.75,1.125,0.75,1.375,4.5
Lithuania,2.375,2.625,1.625,1.625,1.75
Bosnia and Herzegovina,1.375,2,1.5,2.625,1.625
Luxembourg,0.875,2.625,3,1,1.25
Latvia,0.75,1.625,2.25,1.375,2.625
Finland,1.25,0.875,1.625,1.375,3.25
Kosovo,0,2.5,1.5,1.833,2.333
Republic of Ireland,1.125,1,1.25,1.875,2.875
Northern Ireland,0.75,0.5,2.375,2.833,1.625
Albania,2.625,1,0.75,2,1.625
Armenia,0.625,1.5,2.75,1.375,1.625
Faroe Islands,0.75,1.125,1.125,2.75,1.5
Malta,1.375,1.5,0.75,1.5,1.875
Georgia,0.125,1.625,2.25,1.75,1.25
North Macedonia,3.125,1,0.5,1.75,0.625
Liechtenstein,2,1.5,2.5,0.5,0
Estonia,0.625,0.5,0.875,1.375,3
Wales,0.5,1,1,1.5,1.5
Gibraltar,0.5,1,1,1.666,1.25
Iceland,1.125,1.5,0.625,0.625,1.5
Montenegro,1.125,0.375,1,1.625,0.75
Andorra,0.166,0.833,1.5,0.666,1.5
San Marino,0.166,0.5,0,0.5,0.166
